ID,WR_L4,WR_MOST_L4,RD_L4,Sum_Effi,D64_W33,D64_W50,D64_W66,D128_W33,D128_W50,D128_W66,D256_W33,D256_W50,D256_W66
182,48,60,29,647.9,49.97,50.44,49.64,81.31,79.3,76.78,89.83,86.01,84.62
183,48,60,31,652.09,50.99,50.86,49.93,81.61,79.56,77.15,88.97,87.32,85.7
184,48,60,33,652.59,50.92,50.38,49.76,81.3,79.0,77.26,89.79,87.52,86.66
185,48,64,19,643.74,48.01,48.55,49.18,79.33,78.2,76.85,89.87,88.03,85.72
186,48,64,21,646.58,49.13,49.29,49.82,79.53,78.73,76.96,89.02,88.04,86.06
187,48,64,23,570.92,49.81,49.96,49.5,81.81,0.0,77.81,89.23,87.45,85.35
188,48,64,25,651.36,50.58,50.0,50.14,80.8,79.99,77.52,88.43,88.23,85.67
189,48,64,27,651.28,50.49,50.46,49.44,81.76,79.35,77.88,89.4,87.08,85.42
190,48,64,29,651.87,50.37,50.15,49.74,81.0,79.73,77.32,89.64,88.21,85.71
191,48,64,31,602.72,0.0,50.2,49.71,80.34,79.4,77.61,90.55,87.89,87.02
192,48,64,33,652.12,50.15,50.02,49.99,80.38,79.81,77.37,89.77,87.99,86.64
193,48,68,19,645.44,48.08,49.33,48.87,78.36,78.85,77.72,89.07,88.76,86.4
194,48,68,21,567.71,47.63,48.77,49.37,80.63,0.0,77.56,89.13,88.4,86.22
195,48,68,23,651.06,49.43,49.6,49.67,81.07,79.69,78.32,89.49,88.2,85.59
196,48,68,25,483.22,50.12,49.82,50.19,0.0,79.75,78.2,89.76,0.0,85.38
197,48,68,27,650.82,50.58,49.95,49.48,80.88,80.22,77.99,89.04,86.91,85.77
198,48,68,29,654.04,50.01,50.27,50.0,81.01,79.86,78.57,90.39,87.92,86.01
199,48,68,31,651.86,49.99,49.8,49.85,79.37,79.4,78.1,90.75,87.96,86.64
200,48,68,33,650.69,49.49,50.64,49.66,78.62,79.42,78.13,90.1,88.49,86.14
201,50,52,19,629.24,45.33,47.08,47.14,78.61,77.02,74.35,89.72,86.4,83.59
202,50,52,21,632.39,47.27,47.62,47.15,79.05,77.42,74.9,89.0,86.48,83.5
203,50,52,23,635.35,47.91,48.34,47.58,80.94,78.11,74.92,87.95,85.99,83.61
204,50,52,25,638.07,49.5,49.02,48.12,81.0,78.21,75.54,87.29,85.84,83.55
205,50,52,27,564.26,49.46,48.96,48.44,81.24,78.58,0.0,88.18,85.88,83.52
206,50,52,29,644.73,51.63,49.57,48.45,81.03,78.98,76.08,88.4,85.85,84.74
207,50,52,31,568.95,50.81,49.83,48.69,81.62,0.0,76.07,88.38,86.08,87.47
208,50,52,33,647.29,50.81,49.83,48.69,81.62,78.34,76.07,88.38,86.08,87.47
209,50,56,19,635.37,46.32,48.46,47.44,78.73,77.85,75.75,89.61,86.85,84.36
210,50,56,21,639.12,48.09,47.81,48.24,80.26,78.3,75.9,89.62,86.63,84.27
211,50,56,23,640.12,49.23,49.0,48.77,80.42,78.34,76.31,87.94,86.5,83.61
212,50,56,25,642.37,49.22,49.92,48.21,81.29,78.92,76.17,88.44,86.25,83.95
213,50,56,27,643.62,50.37,50.09,48.8,81.26,78.77,76.09,88.61,85.38,84.25
214,50,56,29,647.54,51.45,50.13,49.22,82.01,79.13,76.66,88.48,85.43,85.03
215,50,56,31,650.49,50.3,50.29,49.59,82.34,79.33,76.79,89.06,86.52,86.27
216,50,56,33,650.49,50.3,50.29,49.59,82.34,79.33,76.79,89.06,86.52,86.27
217,50,60,19,642.2,47.96,48.97,48.61,79.49,78.1,75.8,90.07,88.06,85.14
218,50,60,21,644.12,48.93,48.62,48.7,80.63,79.0,76.39,88.98,87.43,85.44
219,50,60,23,646.49,49.47,49.41,49.06,80.98,79.21,76.6,89.66,87.09,85.01
220,50,60,25,645.79,49.94,49.37,49.44,81.74,79.4,77.05,87.93,87.04,83.88
221,50,60,27,648.36,49.61,49.96,49.79,81.57,78.94,76.64,90.47,86.53,84.85
222,50,60,29,571.72,49.97,50.28,49.9,81.4,79.12,0.0,88.5,87.04,85.51
223,50,60,31,651.61,50.84,49.85,49.73,81.5,79.65,77.57,88.73,87.07,86.67
224,50,60,33,651.61,50.84,49.85,49.73,81.5,79.65,77.57,88.73,87.07,86.67
225,50,64,19,643.6,48.01,48.41,49.18,79.33,78.2,76.85,89.87,88.03,85.72
226,50,64,21,568.19,49.13,49.63,49.82,79.53,0.0,76.96,89.02,88.04,86.06
227,50,64,23,650.04,49.81,49.74,49.5,81.81,79.34,77.81,89.23,87.45,85.35
228,50,64,25,651.07,50.58,49.97,50.14,80.8,79.73,77.52,88.43,88.23,85.67
229,50,64,27,564.13,50.49,49.95,49.44,81.76,79.79,77.88,89.4,0.0,85.42
230,50,64,29,652.47,50.32,50.34,50.01,81.25,79.7,77.84,89.71,87.54,85.76
231,50,64,31,653.83,50.8,50.24,49.82,80.73,79.83,77.45,90.48,88.0,86.48
232,50,64,33,653.83,50.8,50.24,49.82,80.73,79.83,77.45,90.48,88.0,86.48
233,50,68,19,644.71,48.08,48.6,48.87,78.36,78.85,77.72,89.07,88.76,86.4
234,50,68,21,646.96,47.63,48.67,49.37,80.63,79.35,77.56,89.13,88.4,86.22
235,50,68,23,651.55,49.43,49.88,49.67,81.07,79.9,78.32,89.49,88.2,85.59
236,50,68,25,563.25,50.12,49.79,50.19,80.65,80.12,78.2,0.0,88.8,85.38
237,50,68,27,561.7,50.58,50.16,49.48,80.88,79.93,77.99,0.0,86.91,85.77
238,50,68,29,561.34,50.01,50.25,49.68,80.02,79.93,78.35,0.0,87.65,85.45
239,50,68,31,653.09,49.66,50.87,50.23,80.46,79.61,77.98,90.33,87.74,86.21
240,50,68,33,654.06,50.63,50.87,50.23,80.46,79.61,77.98,90.33,87.74,86.21
241,52,52,19,629.62,45.33,47.46,47.14,78.61,77.02,74.35,89.72,86.4,83.59
242,52,52,21,633.45,47.27,47.86,47.15,79.05,78.07,74.9,89.17,86.48,83.5
243,52,52,23,557.31,47.91,48.41,47.58,80.94,0.0,74.92,87.95,85.99,83.61
244,52,52,25,638.16,49.5,48.63,48.12,81.0,78.69,75.54,87.29,85.84,83.55
245,52,52,27,592.93,49.46,49.01,0.0,81.31,77.98,75.64,88.22,86.05,85.26
